School Name,Class,Roll No,Student Name,Hindi,English,Maths,Science,Social,Computer,Total Marks,CGPA,Pass/Fail
St Xavier School,4,2,Tanya Verma,63,24,8,77,2,41,215,3.58,Pass
St Xavier School,4,9,Aarav Malhotra,26,39,9,27,57,62,220,3.67,Pass
St Xavier School,4,13,Sanjay Sharma,4,69,48,13,10,83,227,3.78,Pass
St Xavier School,4,26,Varun Gupta,26,55,2,76,21,54,234,3.9,Pass
St Xavier School,4,16,Aarav Malhotra,7,31,47,56,83,18,242,4.03,Pass
St Xavier School,4,5,Simran Malhotra,85,15,26,43,39,36,244,4.07,Pass
St Xavier School,4,19,Sanjay Bajaj,17,32,23,79,13,81,245,4.08,Pass
St Xavier School,4,28,Vivaan Kapoor,38,14,1,94,89,15,251,4.18,Pass
St Xavier School,4,11,Nikhil Malhotra,47,70,14,57,55,12,255,4.25,Pass
St Xavier School,4,27,Nikhil Kapoor,45,30,67,21,24,75,262,4.37,Pass
St Xavier School,4,1,Aditya Verma,69,8,14,49,79,51,270,4.5,Pass
St Xavier School,4,24,Aryan Mehta,45,45,53,10,87,30,270,4.5,Pass
St Xavier School,4,25,Pooja Kapoor,49,16,22,82,95,7,271,4.52,Pass
St Xavier School,4,30,Varun Malhotra,29,21,33,92,96,11,282,4.7,Pass
St Xavier School,4,15,Aditya Bajaj,7,48,74,10,49,96,284,4.73,Pass
St Xavier School,4,29,Pooja Yadav,21,61,68,59,76,6,291,4.85,Pass
St Xavier School,4,20,Kabir Gupta,56,71,61,17,70,18,293,4.88,Pass
St Xavier School,4,12,Pooja Yadav,12,37,46,78,67,54,294,4.9,Pass
St Xavier School,4,17,Rohan Singh,6,86,18,97,91,0,298,4.97,Pass
St Xavier School,4,10,Simran Bajaj,19,74,39,54,86,45,317,5.28,Pass
St Xavier School,4,4,Simran Yadav,73,18,46,43,50,88,318,5.3,Pass
St Xavier School,4,6,Aryan Malhotra,42,41,42,82,12,100,319,5.32,Pass
St Xavier School,4,8,Rahul Kapoor,94,20,33,65,69,70,351,5.85,Pass
St Xavier School,4,7,Tanya Gupta,10,87,52,80,47,97,373,6.22,Pass
St Xavier School,4,18,Sanjay Gupta,42,47,61,94,79,75,398,6.63,Pass
St Xavier School,4,23,Nikhil Chopra,61,89,39,96,71,42,398,6.63,Pass
St Xavier School,4,3,Kiran Chopra,70,94,96,94,37,96,487,8.12,Pass
St Xavier School,5,24,Simran Malhotra,28,96,30,25,16,10,205,3.42,Fail
St Xavier School,5,17,Kabir Gupta,20,7,96,31,42,16,212,3.53,Fail
St Xavier School,5,15,Aditya Sharma,40,29,94,14,23,38,238,3.97,Fail
St Xavier School,5,14,Sanya Kapoor,8,38,36,73,2,84,241,4.02,Pass
St Xavier School,5,13,Sanya Gupta,1,46,57,51,31,68,254,4.23,Pass
St Xavier School,5,5,Tanya Yadav,9,13,48,66,49,80,265,4.42,Pass
St Xavier School,5,12,Nikhil Mehta,53,36,65,76,19,17,266,4.43,Pass
St Xavier School,5,2,Priya Mehta,65,10,37,52,50,59,273,4.55,Pass
St Xavier School,5,4,Priya Mehta,80,67,23,26,26,55,277,4.62,Pass
St Xavier School,5,1,Varun Yadav,22,92,87,11,42,26,280,4.67,Pass
St Xavier School,5,30,Aryan Sharma,60,99,12,2,28,79,280,4.67,Pass
St Xavier School,5,7,Sanjay Singh,58,23,65,51,26,58,281,4.68,Pass
St Xavier School,5,27,Ishita Verma,100,69,35,34,33,12,283,4.72,Pass
St Xavier School,5,29,Priya Mehta,41,62,74,71,26,9,283,4.72,Pass
St Xavier School,5,23,Ananya Bajaj,60,60,54,2,74,41,291,4.85,Pass
St Xavier School,5,9,Simran Malhotra,27,84,42,45,85,21,304,5.07,Pass
St Xavier School,5,10,Sanjay Mehta,90,81,2,97,20,17,307,5.12,Pass
St Xavier School,5,19,Neha Yadav,51,73,92,36,31,29,312,5.2,Pass
St Xavier School,5,16,Ananya Bajaj,10,35,63,94,51,70,323,5.38,Pass
St Xavier School,5,26,Pooja Kapoor,40,67,32,20,93,77,329,5.48,Pass
St Xavier School,5,6,Tanya Singh,25,99,47,7,93,60,331,5.52,Pass
St Xavier School,5,18,Ananya Chopra,40,94,47,22,42,92,337,5.62,Pass
St Xavier School,5,8,Priya Malhotra,67,23,23,81,57,90,341,5.68,Pass
St Xavier School,5,22,Tanya Chopra,15,90,33,89,53,81,361,6.02,Pass
St Xavier School,5,20,Aarav Kapoor,69,100,46,0,56,97,368,6.13,Pass
St Xavier School,5,25,Vivaan Chopra,84,57,25,37,97,73,373,6.22,Pass
St Xavier School,5,28,Ishita Malhotra,42,80,22,74,76,80,374,6.23,Pass
St Xavier School,5,3,Ishita Yadav,92,57,63,84,5,77,378,6.3,Pass
St Xavier School,5,21,Aryan Singh,96,89,60,77,7,65,394,6.57,Pass
St Xavier School,5,11,Ishita Sharma,76,23,41,95,95,89,419,6.98,Pass
St Xavier School,6,25,Neha Verma,23,10,36,24,23,18,134,2.23,Fail
St Xavier School,6,22,Tanya Verma,31,27,21,13,58,0,150,2.5,Fail
St Xavier School,6,19,Ananya Kapoor,17,65,44,30,23,30,209,3.48,Fail
St Xavier School,6,8,Divya Kapoor,26,33,0,59,7,98,223,3.72,Fail
St Xavier School,6,6,Sanjay Malhotra,58,16,47,9,39,57,226,3.77,Pass
St Xavier School,6,9,Aarav Singh,94,64,10,28,34,8,238,3.97,Pass
St Xavier School,6,18,Sanya Kapoor,29,56,19,56,11,73,244,4.07,Pass
St Xavier School,6,24,Aryan Malhotra,52,49,41,64,17,28,251,4.18,Pass
St Xavier School,6,27,Aditya Yadav,41,71,3,50,29,58,252,4.2,Pass
St Xavier School,6,5,Aarav Yadav,4,9,30,18,98,99,258,4.3,Pass
St Xavier School,6,15,Sanjay Bajaj,13,74,45,24,50,54,260,4.33,Pass
St Xavier School,6,17,Rohan Kapoor,57,59,61,38,31,14,260,4.33,Pass
St Xavier School,6,28,Divya Bajaj,29,19,28,92,59,33,260,4.33,Pass
St Xavier School,6,7,Priya Malhotra,60,61,14,3,84,42,264,4.4,Pass
St Xavier School,6,11,Varun Malhotra,77,59,10,16,20,84,266,4.43,Pass
St Xavier School,6,1,Aryan Bajaj,36,11,41,83,89,9,269,4.48,Pass
St Xavier School,6,26,Kabir Chopra,99,31,68,65,7,6,276,4.6,Pass
St Xavier School,6,20,Vivaan Singh,16,33,63,8,78,79,277,4.62,Pass
St Xavier School,6,2,Neha Kapoor,69,36,61,22,41,53,282,4.7,Pass
St Xavier School,6,4,Kabir Yadav,74,53,20,80,30,33,290,4.83,Pass
St Xavier School,6,16,Priya Gupta,67,88,41,69,10,19,294,4.9,Pass
St Xavier School,6,13,Kabir Yadav,67,83,68,33,12,47,310,5.17,Pass
St Xavier School,6,3,Ishita Bajaj,68,82,29,62,2,79,322,5.37,Pass
St Xavier School,6,12,Aarav Malhotra,22,72,21,41,96,86,338,5.63,Pass
St Xavier School,6,29,Rohan Verma,79,75,87,64,12,34,351,5.85,Pass
St Xavier School,6,23,Varun Chopra,53,25,65,78,32,100,353,5.88,Pass
St Xavier School,6,30,Rahul Singh,97,61,100,18,14,67,357,5.95,Pass
St Xavier School,6,10,Aditya Gupta,78,41,91,50,98,6,364,6.07,Pass
St Xavier School,6,14,Aditya Bajaj,49,96,32,38,97,72,384,6.4,Pass
St Xavier School,6,21,Aryan Bajaj,64,98,78,33,70,95,438,7.3,Pass
St Xavier School,7,14,Rahul Chopra,0,7,86,20,1,24,138,2.3,Fail
St Xavier School,7,19,Rohan Singh,13,1,54,39,44,51,202,3.37,Fail
St Xavier School,7,21,Aryan Chopra,41,72,1,91,4,12,221,3.68,Fail
St Xavier School,7,9,Ishita Gupta,3,20,3,64,55,87,232,3.87,Fail
St Xavier School,7,16,Priya Sharma,47,35,58,30,43,20,233,3.88,Pass
St Xavier School,7,17,Kiran Mehta,21,25,93,36,33,33,241,4.02,Pass
St Xavier School,7,1,Kabir Bajaj,42,75,24,9,22,84,256,4.27,Pass
St Xavier School,7,26,Sanya Gupta,6,75,12,53,74,47,267,4.45,Pass
St Xavier School,7,12,Priya Chopra,66,1,81,49,29,42,268,4.47,Pass
St Xavier School,7,22,Ishita Chopra,85,24,73,0,74,16,272,4.53,Pass
St Xavier School,7,3,Kabir Yadav,3,92,65,5,73,37,275,4.58,Pass
St Xavier School,7,11,Sanjay Bajaj,25,67,22,73,73,17,277,4.62,Pass
St Xavier School,7,18,Sanya Mehta,61,74,70,0,70,2,277,4.62,Pass
St Xavier School,7,2,Divya Kapoor,96,7,15,58,86,23,285,4.75,Pass
St Xavier School,7,30,Ishita Gupta,27,84,30,82,20,47,290,4.83,Pass
St Xavier School,7,27,Pooja Kapoor,5,83,79,31,81,12,291,4.85,Pass
St Xavier School,7,4,Divya Bajaj,86,52,95,20,10,42,305,5.08,Pass
St Xavier School,7,10,Varun Gupta,18,80,66,10,72,60,306,5.1,Pass
St Xavier School,7,23,Aditya Singh,66,64,33,82,59,12,316,5.27,Pass
St Xavier School,7,5,Pooja Gupta,76,51,63,62,4,68,324,5.4,Pass
St Xavier School,7,6,Aditya Sharma,47,84,81,18,19,80,329,5.48,Pass
St Xavier School,7,7,Ishita Kapoor,39,94,88,55,22,47,345,5.75,Pass
St Xavier School,7,13,Rahul Yadav,21,66,82,82,64,31,346,5.77,Pass
St Xavier School,7,24,Kabir Sharma,82,58,72,77,7,60,356,5.93,Pass
St Xavier School,7,25,Kiran Gupta,10,44,95,64,85,70,368,6.13,Pass
St Xavier School,7,15,Sanjay Chopra,82,77,95,30,32,55,371,6.18,Pass
St Xavier School,7,8,Kiran Sharma,84,90,70,77,5,78,404,6.73,Pass
St Xavier School,7,29,Nikhil Mehta,70,91,64,17,98,92,432,7.2,Pass
St Xavier School,7,20,Sanjay Bajaj,95,97,71,23,71,94,451,7.52,Pass
St Xavier School,7,28,Sanya Yadav,63,35,85,98,96,95,472,7.87,Pass
St Xavier School,8,16,Neha Gupta,42,1,2,42,1,15,103,1.72,Fail
St Xavier School,8,3,Divya Chopra,9,55,18,20,26,10,138,2.3,Fail
St Xavier School,8,15,Sanjay Sharma,1,19,90,15,31,8,164,2.73,Fail
St Xavier School,8,13,Sanjay Bajaj,5,24,26,64,59,18,196,3.27,Fail
St Xavier School,8,27,Nikhil Verma,36,9,21,82,5,50,203,3.38,Pass
St Xavier School,8,5,Sanya Mehta,4,41,47,30,6,77,205,3.42,Pass
St Xavier School,8,14,Kabir Gupta,28,16,14,42,95,15,210,3.5,Pass
St Xavier School,8,9,Vivaan Bajaj,8,47,77,6,65,19,222,3.7,Pass
St Xavier School,8,28,Nikhil Kapoor,31,23,30,80,52,6,222,3.7,Pass
St Xavier School,8,18,Nikhil Bajaj,65,13,63,12,38,40,231,3.85,Pass
St Xavier School,8,4,Neha Singh,26,11,79,50,51,16,233,3.88,Pass
St Xavier School,8,21,Priya Mehta,93,25,30,3,28,58,237,3.95,Pass
St Xavier School,8,12,Aryan Yadav,96,34,20,23,50,19,242,4.03,Pass
St Xavier School,8,29,Kabir Bajaj,25,49,25,87,22,47,255,4.25,Pass
St Xavier School,8,30,Priya Malhotra,93,38,23,58,58,3,273,4.55,Pass
St Xavier School,8,1,Ishita Singh,20,34,31,92,54,59,290,4.83,Pass
St Xavier School,8,6,Varun Gupta,31,14,31,75,40,100,291,4.85,Pass
St Xavier School,8,26,Kabir Bajaj,51,73,87,19,39,22,291,4.85,Pass
St Xavier School,8,2,Varun Gupta,97,20,73,18,79,20,307,5.12,Pass
St Xavier School,8,25,Sanjay Bajaj,68,83,65,9,74,17,316,5.27,Pass
St Xavier School,8,23,Priya Gupta,60,60,62,29,58,53,322,5.37,Pass
St Xavier School,8,20,Priya Bajaj,61,54,55,28,69,72,339,5.65,Pass
St Xavier School,8,22,Divya Malhotra,79,62,56,69,4,76,346,5.77,Pass
St Xavier School,8,17,Neha Bajaj,0,84,55,57,84,68,348,5.8,Pass
St Xavier School,8,19,Priya Verma,90,27,16,86,54,91,364,6.07,Pass
St Xavier School,8,8,Rahul Verma,68,77,28,96,61,41,371,6.18,Pass
St Xavier School,8,11,Aryan Verma,9,76,98,86,67,40,376,6.27,Pass
St Xavier School,8,7,Kabir Kapoor,79,95,53,98,61,3,389,6.48,Pass
St Xavier School,8,24,Simran Chopra,81,88,70,94,51,14,398,6.63,Pass
St Xavier School,8,10,Rohan Bajaj,85,41,63,53,86,96,424,7.07,Pass
St Xavier School,9,16,Kiran Gupta,27,33,0,46,10,12,128,2.13,Fail
St Xavier School,9,26,Simran Yadav,75,24,28,31,15,25,198,3.3,Fail
St Xavier School,9,18,Sanjay Malhotra,36,7,38,90,26,25,222,3.7,Fail
St Xavier School,9,29,Sanya Gupta,20,58,34,39,24,48,223,3.72,Fail
St Xavier School,9,1,Pooja Chopra,29,79,33,25,39,23,228,3.8,Pass
St Xavier School,9,8,Tanya Singh,63,18,25,8,41,83,238,3.97,Pass
St Xavier School,9,4,Sanya Gupta,50,93,11,63,36,0,253,4.22,Pass
St Xavier School,9,9,Neha Sharma,27,47,38,13,67,73,265,4.42,Pass
St Xavier School,9,22,Nikhil Malhotra,84,30,73,7,42,29,265,4.42,Pass
St Xavier School,9,7,Nikhil Malhotra,52,18,83,9,88,23,273,4.55,Pass
St Xavier School,9,25,Tanya Gupta,89,54,32,13,25,61,274,4.57,Pass
St Xavier School,9,21,Vivaan Mehta,45,16,93,20,21,80,275,4.58,Pass
St Xavier School,9,14,Vivaan Sharma,85,9,69,49,65,4,281,4.68,Pass
St Xavier School,9,2,Ishita Yadav,86,70,86,0,4,42,288,4.8,Pass
St Xavier School,9,10,Aditya Mehta,68,59,84,67,3,9,290,4.83,Pass
St Xavier School,9,23,Priya Verma,89,20,13,91,51,27,291,4.85,Pass
St Xavier School,9,15,Nikhil Kapoor,16,67,0,13,98,98,292,4.87,Pass
St Xavier School,9,5,Pooja Mehta,56,46,53,54,59,27,295,4.92,Pass
St Xavier School,9,17,Sanjay Gupta,38,43,54,62,14,91,302,5.03,Pass
St Xavier School,9,12,Neha Bajaj,0,25,37,90,82,73,307,5.12,Pass
St Xavier School,9,27,Sanjay Gupta,17,55,92,62,57,39,322,5.37,Pass
St Xavier School,9,30,Pooja Kapoor,10,85,54,4,89,82,324,5.4,Pass
St Xavier School,9,13,Ananya Chopra,77,24,30,93,44,76,344,5.73,Pass
St Xavier School,9,6,Divya Bajaj,60,57,29,80,81,56,363,6.05,Pass
St Xavier School,9,19,Sanjay Sharma,99,88,20,56,28,73,364,6.07,Pass
St Xavier School,9,28,Sanya Verma,32,70,93,9,79,87,370,6.17,Pass
St Xavier School,9,3,Sanjay Chopra,85,18,29,54,86,100,372,6.2,Pass
St Xavier School,9,20,Varun Yadav,14,91,80,53,74,61,373,6.22,Pass
St Xavier School,9,24,Aryan Yadav,26,55,70,86,61,98,396,6.6,Pass
St Xavier School,9,11,Priya Gupta,49,99,66,62,76,75,427,7.12,Pass
St Xavier School,10,5,Vivaan Bajaj,20,3,16,28,52,43,162,2.7,Fail
St Xavier School,10,30,Varun Verma,31,29,17,63,11,16,167,2.78,Fail
St Xavier School,10,6,Ananya Gupta,35,62,21,28,6,29,181,3.02,Fail
St Xavier School,10,28,Kiran Mehta,78,68,10,11,22,24,213,3.55,Pass
St Xavier School,10,16,Neha Mehta,42,4,16,67,43,58,230,3.83,Pass
St Xavier School,10,24,Divya Malhotra,16,27,4,67,76,57,247,4.12,Pass
St Xavier School,10,2,Priya Yadav,86,37,93,22,18,6,262,4.37,Pass
St Xavier School,10,17,Tanya Gupta,25,65,73,59,8,43,273,4.55,Pass
St Xavier School,10,4,Aarav Malhotra,14,40,16,74,52,83,279,4.65,Pass
St Xavier School,10,20,Simran Gupta,1,85,24,25,68,79,282,4.7,Pass
St Xavier School,10,7,Rahul Singh,35,63,67,38,37,49,289,4.82,Pass
St Xavier School,10,1,Rahul Yadav,74,90,5,3,40,82,294,4.9,Pass
St Xavier School,10,14,Rohan Mehta,40,0,73,85,57,44,299,4.98,Pass
St Xavier School,10,26,Aarav Malhotra,98,43,63,5,6,88,303,5.05,Pass
St Xavier School,10,23,Rohan Yadav,53,89,1,59,89,29,320,5.33,Pass
St Xavier School,10,18,Rahul Bajaj,68,98,47,23,4,86,326,5.43,Pass
St Xavier School,10,11,Nikhil Sharma,15,52,45,78,62,75,327,5.45,Pass
St Xavier School,10,22,Priya Singh,52,93,11,98,31,54,339,5.65,Pass
St Xavier School,10,8,Ananya Bajaj,46,46,22,85,45,98,342,5.7,Pass
St Xavier School,10,10,Aditya Chopra,54,38,47,55,78,76,348,5.8,Pass
St Xavier School,10,19,Rohan Malhotra,85,93,100,27,48,14,367,6.12,Pass
St Xavier School,10,29,Vivaan Verma,38,21,93,57,60,99,368,6.13,Pass
St Xavier School,10,9,Simran Verma,22,99,33,80,85,56,375,6.25,Pass
St Xavier School,10,15,Aryan Bajaj,100,99,55,22,18,87,381,6.35,Pass
St Xavier School,10,25,Aryan Chopra,60,69,98,72,1,88,388,6.47,Pass
St Xavier School,10,3,Ananya Sharma,89,53,71,77,8,96,394,6.57,Pass
St Xavier School,10,13,Rahul Mehta,85,69,25,65,66,90,400,6.67,Pass
St Xavier School,10,27,Priya Malhotra,49,69,52,81,86,68,405,6.75,Pass
St Xavier School,10,21,Priya Sharma,68,53,86,41,93,84,425,7.08,Pass
St Xavier School,10,12,Pooja Chopra,97,12,85,69,76,88,427,7.12,Pass
